CASE_STATUS,SOC_NAME,JOB_TITLE,FULL_TIME_POSITION,PREVAILING_WAGE,YEAR,WORKSITE,State,Wage_Category,processing_time
1,CHIEF EXECUTIVES,CEO,Y,187200.0,2016.0,"SANTA CLARA, CALIFORNIA",CALIFORNIA,Very High,11
1,CHIEF EXECUTIVES,"PRESIDENT, NORTHEAST REGION",Y,241842.0,2016.0,"ALEXANDRIA, VIRGINIA",VIRGINIA,Very High,12
1,CHIEF EXECUTIVES,CEO,Y,99986.0,2016.0,"SAN DIEGO, CALIFORNIA",CALIFORNIA,High,26
1,CHIEF EXECUTIVES,CHIEF FINANCIAL OFFICER,Y,99986.0,2016.0,"CHULA VISTA, CALIFORNIA",CALIFORNIA,High,24
1,CHIEF EXECUTIVES,CEO,Y,187200.0,2016.0,"SANTA CLARA, CALIFORNIA",CALIFORNIA,Very High,24
1,CHIEF EXECUTIVES,CHIEF BUSINESS OFFICER,Y,215862.0,2016.0,"SAN FRANCISCO, CALIFORNIA",CALIFORNIA,Very High,15
1,CHIEF EXECUTIVES,VICE PRESIDENT OF ENGINEERING,Y,192088.0,2016.0,"AUSTIN, TEXAS",TEXAS,Very High,15
1,CHIEF EXECUTIVES,EXECUTIVE DIRECTOR,Y,95295.98,2016.0,"WESTON, FLORIDA",FLORIDA,High,10
1,CHIEF EXECUTIVES,"VICE PRESIDENT, BUSINESS DEVELOPMENT",Y,149594.0,2016.0,"WASHINGTON, DISTRICT OF COLUMBIA",DISTRICT OF COLUMBIA,High,11
1,CHIEF EXECUTIVES,HEAD OF US SALES,Y,226699.0,2016.0,"CHICAGO, ILLINOIS",ILLINOIS,Very High,10
1,CHIEF EXECUTIVES,CHIEF FINANCIAL OFFICER,Y,187200.0,2016.0,"MORRISVILLE, NORTH CAROLINA",NORTH CAROLINA,Very High,12
1,CHIEF EXECUTIVES,CHIEF OPERATING OFFICER,Y,159370.0,2016.0,"MIAMI, FLORIDA",FLORIDA,Very High,10
1,CHIEF EXECUTIVES,VICE PRESIDENT OF OPERATIONS,Y,98550.0,2016.0,"LINCOLN, RHODE ISLAND",RHODE ISLAND,High,10
1,CHIEF EXECUTIVES,CHIEF EXECUTIVE OFFICER,Y,130853.0,2016.0,"CHICAGO, ILLINOIS",ILLINOIS,High,10
1,CHIEF EXECUTIVES,CHIEF EXECUTIVE OFFICER,N,52416.0,2016.0,"WICKLIFFE, OHIO",OHIO,Medium,21
1,CHIEF EXECUTIVES,"VICE PRESIDENT, FINANCE AND OPERATIONS ANALYSIS",Y,130853.0,2016.0,"WARRENVILLE, ILLINOIS",ILLINOIS,High,10
0,CHIEF EXECUTIVES,CHIEF EXECUTIVE OFFICER,Y,187200.0,2016.0,"RENTON, WASHINGTON",WASHINGTON,Very High,43
1,CHIEF EXECUTIVES,CHIEF OPERATING OFFICER,Y,89107.0,2016.0,"LANSING, MICHIGAN",MICHIGAN,Medium,20
1,CHIEF EXECUTIVES,ACCOUNT DIRECTOR,Y,130853.0,2016.0,"NORTHBROOK, ILLINOIS",ILLINOIS,High,16
1,CHIEF EXECUTIVES,TECHNICAL DIRECTOR,Y,102190.0,2016.0,"ALPHARETTA, GEORGIA",GEORGIA,High,10
1,CHIEF EXECUTIVES,VICE PRESIDENT OF OPERATIONS,Y,197683.0,2016.0,"SOLANA BEACH, CALIFORNIA",CALIFORNIA,Very High,13
1,CHIEF EXECUTIVES,SVP BUSINESS OPERATIONS AND DEVELOPMENT,Y,122179.0,2016.0,"NEW YORK, NEW YORK",NEW YORK,High,23
1,CHIEF EXECUTIVES,EXECUTIVE DIRECTOR,N,54766.0,2016.0,"GALENA, ILLINOIS",ILLINOIS,Medium,29
1,CHIEF EXECUTIVES,CHIEF FINANCIAL OFFICER,Y,187200.0,2016.0,"BLOOMFIELD, NEW JERSEY",NEW JERSEY,Very High,10
0,CHIEF EXECUTIVES,PRESIDENT,Y,197683.2,2016.0,"SAN DIEGO, CALIFORNIA",CALIFORNIA,Very High,37
1,CHIEF EXECUTIVES,CHIEF EXECUTIVE OFFICER,Y,155459.2,2016.0,"FREMONT, CALIFORNIA",CALIFORNIA,Very High,12
1,CHIEF EXECUTIVES,PRESIDENT,Y,197683.2,2016.0,"SAN DIEGO, CALIFORNIA",CALIFORNIA,Very High,19
1,CHIEF EXECUTIVES,CHIEF MEDICAL OFFICER,Y,187200.0,2016.0,"KATY, TEXAS",TEXAS,Very High,13
1,CHIEF EXECUTIVES,CHIEF MEDICAL OFFICER,Y,187200.0,2016.0,"HOUSTON, TEXAS",TEXAS,Very High,10
1,CHIEF EXECUTIVES,"ASSISTANT VICE PRESIDENT, BUSINESS DEVELOPMENT",Y,102190.0,2016.0,"JOHNS CREEK, GEORGIA",GEORGIA,High,13
1,CHIEF EXECUTIVES,CHIEF EXECUTIVE OFFICER,Y,187200.0,2016.0,"RENTON, WASHINGTON",WASHINGTON,Very High,17
1,CHIEF EXECUTIVES,CHIEF INFORMATION OFFICER,Y,164403.0,2016.0,"ASHLAND, MASSACHUSETTS",MASSACHUSETTS,Very High,11
1,CHIEF EXECUTIVES,VICE PRESIDENT OF QUALITY,Y,145829.0,2016.0,"ONSTED, MICHIGAN",MICHIGAN,High,10
1,CHIEF EXECUTIVES,CHIEF EXECUTIVE OFFICER,Y,155459.2,2016.0,"FREMONT, CALIFORNIA",CALIFORNIA,Very High,19
1,CHIEF EXECUTIVES,VICE PRESIDENT OF QUALITY,Y,145829.0,2016.0,"ONSTED, MICHIGAN",MICHIGAN,High,13
1,CHIEF EXECUTIVES,PRESIDENT,Y,161179.0,2016.0,"BROWNSVILLE, TEXAS",TEXAS,Very High,11
1,CHIEF EXECUTIVES,PRESIDENT & CHIEF EXECUTIVE OFFICER,Y,187075.0,2016.0,"CHARLOTTESVILLE, VIRGINIA",VIRGINIA,Very High,13
1,CHIEF EXECUTIVES,CHIEF EXECUTIVE OFFICER AND RESEARCH SCIENTIST,Y,76752.0,2016.0,"WEST LAFAYETTE, INDIANA",INDIANA,Medium,16
1,CHIEF EXECUTIVES,"SR. DIRECTOR, BUSINESS PERFORMANCE MANAGEMENT",Y,137966.0,2016.0,"BALTIMORE, MARYLAND",MARYLAND,High,17
1,CHIEF EXECUTIVES,CHIEF OPERATING OFFICER,Y,187200.0,2016.0,"JUPITER, FLORIDA",FLORIDA,Very High,10
1,CHIEF EXECUTIVES,CHIEF OPERATING OFFICER,Y,226616.0,2016.0,"JUPITER, FLORIDA",FLORIDA,Very High,11
1,CHIEF EXECUTIVES,"PRESIDENT, LENDING SOLUTIONS",Y,221541.0,2016.0,"LAKE MARY, FLORIDA",FLORIDA,Very High,10
1,CHIEF EXECUTIVES,CHIEF OPERATING OFFICER,Y,198266.0,2016.0,"MARIETTA, GEORGIA",GEORGIA,Very High,13
1,CHIEF EXECUTIVES,REGIONAL CHIEF MEDICAL INFORMATION OFFICER,Y,221541.0,2016.0,"ALTAMONTE SPRINGS, FLORIDA",FLORIDA,Very High,24
1,CHIEF EXECUTIVES,PRESIDENT &AMP; CHIEF EXECUTIVE OFFICER,Y,187075.0,2016.0,"CHARLOTTESVILLE, VIRGINIA",VIRGINIA,Very High,10
1,CHIEF EXECUTIVES,CHIEF TECHNOLOGY OFFICER,Y,202634.0,2016.0,"MECHANICSBURG, PENNSYLVANIA",PENNSYLVANIA,Very High,19
1,CHIEF EXECUTIVES,CHIEF MEDICAL INFORMATION OFFICER,Y,234457.6,2016.0,"SANTA ROSA, CALIFORNIA",CALIFORNIA,Very High,16
1,CHIEF EXECUTIVES,CHIEF EXECUTIVE OFFICER,Y,187200.0,2016.0,"IRVING, TEXAS",TEXAS,Very High,23
1,CHIEF EXECUTIVES,CHIEF STRATEGY OFFICER,Y,194875.0,2016.0,"LIVONIA, MICHIGAN",MICHIGAN,Very High,18
1,CHIEF EXECUTIVES,DIRECTOR,Y,75293.0,2016.0,"ALBANY, NEW YORK",NEW YORK,Medium,26
1,CHIEF EXECUTIVES,"PRESIDENT, COMMUNICATIONS",Y,253448.0,2016.0,"NAPLES, FLORIDA",FLORIDA,Very High,10
1,CHIEF EXECUTIVES,CHIEF EXECUTIVE OFFICER,Y,106246.4,2016.0,"OAKLAND, CALIFORNIA",CALIFORNIA,High,24
1,CHIEF EXECUTIVES,CHIEF EXECUTIVE OFFICER (CEO),Y,246522.0,2016.0,"SAN DIEGO, CALIFORNIA",CALIFORNIA,Very High,14
1,CHIEF EXECUTIVES,VP MARKETING (IMPORT/EXPORT,Y,159369.6,2016.0,"HIALEAH, FLORIDA",FLORIDA,Very High,17
1,CHIEF EXECUTIVES,CHIEF INNOVATION OFFICER & SENIOR VP OF CLINICAL SYSTEMS,Y,178776.0,2016.0,"CHICAGO, ILLINOIS",ILLINOIS,Very High,13
1,CHIEF EXECUTIVES,VICE PRESIDENT,Y,103480.0,2016.0,"LANHAM, MARYLAND",MARYLAND,High,12
1,CHIEF EXECUTIVES,CHIEF TECHNOLOGY OFFICER,Y,151507.0,2016.0,"CHESTERFIELD, MISSOURI",MISSOURI,Very High,10
1,CHIEF EXECUTIVES,VICE PRESIDENT,Y,103480.0,2016.0,"LANHAM, MARYLAND",MARYLAND,High,24
1,CHIEF EXECUTIVES,CHIEF OPERATING OFFICER,Y,159370.0,2016.0,"DORAL, FLORIDA",FLORIDA,Very High,10
1,CHIEF EXECUTIVES,"SENIOR DIRECTOR, RIDE AND SHOW",Y,178942.0,2016.0,"ORLANDO, FLORIDA",FLORIDA,Very High,10
1,CHIEF EXECUTIVES,MANAGING DIRECTOR - TECHNOLOGY,Y,159370.0,2016.0,"MIAMI, FLORIDA",FLORIDA,Very High,18
1,CHIEF EXECUTIVES,CHIEF FINANCIAL OFFICER,Y,155958.0,2016.0,"CINCINNATI, OHIO",OHIO,Very High,12
1,CHIEF EXECUTIVES,CHIEF OPERATING OFFICER,Y,117998.0,2016.0,"CARSON, CALIFORNIA",CALIFORNIA,High,16
0,CHIEF EXECUTIVES,GENERAL MANAGER,Y,116334.0,2016.0,"CHAMPION, MICHIGAN",MICHIGAN,High,40
1,CHIEF EXECUTIVES,GENERAL MANAGER,Y,116334.0,2016.0,"CHAMPION, MICHIGAN",MICHIGAN,High,21
1,CHIEF EXECUTIVES,CHIEF EXECUTIVE OFFICER,Y,85051.0,2016.0,"TRACY, CALIFORNIA",CALIFORNIA,Medium,23
1,CHIEF EXECUTIVES,CFO & VP BUSINESS DEVELOPMENT,Y,254821.0,2016.0,"CANTON, MASSACHUSETTS",MASSACHUSETTS,Very High,16
0,CHIEF EXECUTIVES,PRINCIPAL (ATTORNEY) AND CHAIRMAN OF THE EXECUTIVE COMMITTEE,Y,226699.0,2016.0,"CHICAGO, ILLINOIS",ILLINOIS,Very High,37
1,CHIEF EXECUTIVES,VICE PRESIDENT OF CORPORATE STRATEGY,Y,82514.0,2016.0,"LAS VEGAS, NEVADA",NEVADA,Medium,20
1,CHIEF EXECUTIVES,CHIEF SUSTAINABILITY OFFICER,N,17264.0,2016.0,"CHARLOTTESVILLE, VIRGINIA",VIRGINIA,Low,38
0,CHIEF EXECUTIVES,VP DIGITAL STRATEGY,Y,202363.0,2016.0,"NEW PORT RICHEY, FLORIDA",FLORIDA,Very High,39
1,CHIEF EXECUTIVES,CHIEF OPERATING OFFICER,Y,125424.0,2016.0,"HENDERSONVILLE, NORTH CAROLINA",NORTH CAROLINA,High,10
1,CHIEF EXECUTIVES,"EXECUTIVE VICE PRESIDENT, BRAND DEVELOPMENT",Y,158038.0,2016.0,"BRANDON, FLORIDA",FLORIDA,Very High,22
1,CHIEF EXECUTIVES,CHIEF EXECUTIVE OFFICER,Y,164050.0,2016.0,"BEVERLY HILLS, CALIFORNIA",CALIFORNIA,Very High,22
1,CHIEF EXECUTIVES,PRESIDENT AND CHIEF EXECUTIVE OFFICER,Y,233418.0,2016.0,"NEW YORK, NEW YORK",NEW YORK,Very High,13
1,CHIEF EXECUTIVES,VICE PRESIDENT,Y,163966.0,2016.0,"PEMBROKE PINES, FLORIDA",FLORIDA,Very High,10
1,CHIEF EXECUTIVES,SENIOR VP - GLOBAL CONTENT AND MULTI-MEDIA STRATEGY,Y,210122.0,2016.0,"SANTA MONICA, CALIFORNIA",CALIFORNIA,Very High,14
1,CHIEF EXECUTIVES,PRINCIPAL (ATTORNEY) AND CHAIRMAN OF THE EXECUTIVE COMMITTEE,Y,226699.0,2016.0,"CHICAGO, ILLINOIS",ILLINOIS,Very High,10
1,CHIEF EXECUTIVES,"VICE PRESIDENT, USA OPERATIONS",Y,103480.0,2016.0,"RESTON, VIRGINIA",VIRGINIA,High,15
1,CHIEF EXECUTIVES,SENIOR VICE PRESIDENT OF OPERATIONS,Y,202738.0,2016.0,"BRADFORD, PENNSYLVANIA",PENNSYLVANIA,Very High,10
0,CHIEF EXECUTIVES,OPERATIONS DIRECTOR,Y,74276.8,2016.0,"NEW YORK, NEW YORK",NEW YORK,Medium,56
1,CHIEF EXECUTIVES,VICE PRESIDENT OF BUSINESS DEVELOPMENT,Y,113090.0,2016.0,"MIAMI, FLORIDA",FLORIDA,High,13
0,CHIEF EXECUTIVES,CHIEF TECHNOLOGY OFFICER,Y,72800.0,2016.0,"BATON ROUGE, LOUISIANA",LOUISIANA,Medium,47
1,CHIEF EXECUTIVES,CHIEF EXECUTIVE OF FITNESS MANAGEMENT,Y,187200.0,2016.0,"NEW YORK, NEW YORK",NEW YORK,Very High,26
1,CHIEF EXECUTIVES,"EXECUTIVE DIRECTOR, INTERNATIONAL BUSINESS",Y,226699.0,2016.0,"NORTHBROOK, ILLINOIS",ILLINOIS,Very High,15
1,CHIEF EXECUTIVES,"VP, GLOBAL IT GOVERNANCE & PERFORMANCE MEASUREMENT",Y,189862.0,2016.0,"KALAMAZOO, MICHIGAN",MICHIGAN,Very High,16
1,CHIEF EXECUTIVES,VP INTERNATIONAL BUSINESS DEVELOPMENT,Y,252429.0,2016.0,"NEW YORK, NEW YORK",NEW YORK,Very High,10
1,CHIEF EXECUTIVES,VP MARKETING (IMPORT/EXPORT),Y,159369.6,2016.0,"HIALEAH, FLORIDA",FLORIDA,Very High,10
1,CHIEF EXECUTIVES,ASSISTANT VICE PRESIDENT,Y,102190.0,2016.0,"ATLANTA, GEORGIA",GEORGIA,High,19
1,CHIEF EXECUTIVES,CHIEF TECHNICAL OFFICER,Y,155459.2,2016.0,"BERKELEY, CALIFORNIA",CALIFORNIA,Very High,26
1,CHIEF EXECUTIVES,CHIEF OF STAFF,Y,195728.0,2016.0,"WASHINGTON, DISTRICT OF COLUMBIA",DISTRICT OF COLUMBIA,Very High,10
1,CHIEF EXECUTIVES,EXECUTIVE DIRECTOR,Y,256173.0,2016.0,"GARDENA, CALIFORNIA",CALIFORNIA,Very High,14
1,CHIEF EXECUTIVES,"VICE PRESIDENT, INTERNATIONAL SALES, HUMAN NUTRITION",Y,146300.0,2016.0,"EDEN PRAIRIE, MINNESOTA",MINNESOTA,High,32
0,CHIEF EXECUTIVES,"VICE PRESIDENT, INTERNATIONAL SALES, HUMAN NUTRITION",Y,146300.0,2016.0,"EDEN PRAIRIE, MINNESOTA",MINNESOTA,High,33
1,CHIEF EXECUTIVES,PRESIDENT/CEO,Y,187200.0,2016.0,"CHARLOTTE, NORTH CAROLINA",NORTH CAROLINA,Very High,10
1,CHIEF EXECUTIVES,CHIEF EXECUTIVE OFFICER,Y,213200.0,2016.0,"SCOTTSDALE, ARIZONA",ARIZONA,Very High,15
1,CHIEF EXECUTIVES,CHIEF TECHNICAL OFFICER,Y,155459.2,2016.0,"BERKELEY, CALIFORNIA",CALIFORNIA,Very High,31
1,CHIEF EXECUTIVES,"ELECTRICAL ENGINEER, CHIEF TECHNOLOGY OFFICER",Y,229133.0,2016.0,"KIRKLAND, WASHINGTON",WASHINGTON,Very High,10
1,CHIEF EXECUTIVES,VICE PRESIDENT OF RESEARCH AND ENGINEERING,Y,106933.0,2016.0,"OXNARD, CALIFORNIA",CALIFORNIA,High,20
1,CHIEF EXECUTIVES,CHIEF EXECUTIVE OFFICER,Y,254821.0,2016.0,"LEXINGTON, MASSACHUSETTS",MASSACHUSETTS,Very High,10
